location,state,type,so2,no2,rspm,spm,pm2_5,date,Year,Month,SOi,Noi,Rpi,SPMi,AQI,AQI_Range
ANKLESHWAR,Gujarat,RIRUO,24.0,24.0,81.0,187.0,36.0,2015-11-30,2015.0,11.0,30.0,30.0,0.0,158.0,158.0,Poor
Agra,Uttar Pradesh,"Residential, Rural and other Areas",6.0,14.0,197.0,187.0,32.0,2015-12-31,2015.0,12.0,7.5,17.5,0.0,158.0,158.0,Poor
Ahmedabad,Gujarat,"Residential, Rural and other Areas",18.0,19.0,54.0,187.0,17.0,2015-12-31,2015.0,12.0,22.5,23.75,0.0,158.0,158.0,Poor
Aizawl,Mizoram,"Residential, Rural and other Areas",2.0,9.0,32.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,11.25,0.0,158.0,158.0,Poor
Akola,Maharashtra,Industrial Area,9.0,11.0,131.0,187.0,32.0,2015-12-31,2015.0,12.0,11.25,13.75,0.0,158.0,158.0,Poor
Alappuzha,Kerala,"Residential, Rural and other Areas",2.0,5.0,37.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,6.25,0.0,158.0,158.0,Poor
Allahabad,Uttar Pradesh,"Residential, Rural and other Areas",2.0,34.0,262.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,42.5,0.0,158.0,158.0,Poor
Alwar,Rajasthan,"Residential, Rural and other Areas",7.0,28.0,219.0,187.0,32.0,2015-12-31,2015.0,12.0,8.75,35.0,0.0,158.0,158.0,Poor
Amlai,Madhya Pradesh,Industrial Area,17.0,27.0,60.0,187.0,32.0,2015-08-31,2015.0,8.0,21.25,33.75,0.0,158.0,158.0,Poor
Amona,Goa,"Residential, Rural and other Areas",4.0,10.0,79.0,187.0,25.0,2015-12-30,2015.0,12.0,5.0,12.5,0.0,158.0,158.0,Poor
Amravati,Maharashtra,"Residential, Rural and other Areas",11.0,13.0,89.0,187.0,32.0,2015-12-31,2015.0,12.0,13.75,16.25,0.0,158.0,158.0,Poor
Amritsar,Punjab,Industrial Area,16.0,40.0,390.0,187.0,32.0,2015-12-29,2015.0,12.0,20.0,50.0,0.0,158.0,158.0,Poor
Ananthapur,Andhra Pradesh,"Residential, Rural and other Areas",5.0,10.0,82.0,187.0,32.0,2015-12-28,2015.0,12.0,6.25,12.5,0.0,158.0,158.0,Poor
Angul,Odisha,"Residential, Rural and other Areas",11.0,23.0,113.0,187.0,51.0,2015-12-31,2015.0,12.0,13.75,28.75,0.0,158.0,158.0,Poor
Ankleshwar,Gujarat,"Residential, Rural and other Areas",15.0,21.0,90.0,187.0,33.0,2015-03-26,2015.0,3.0,18.75,26.25,0.0,158.0,158.0,Poor
